category,reviews,size,installs,price,suitable_for,last_update,latest_ver,app_id,popularity
BUSINESS,27,6.0M,100+,0,Everyone,"July 26, 2018",1.0.90,4180,High
LIFESTYLE,1067,Varies with device,"100,000+",0,Everyone,"March 20, 2018",3.8.15,8802,Low
TOOLS,79,3.0M,"1,000+",0,Everyone,"November 8, 2017",2.9.9,6313,High
ENTERTAINMENT,61201,Varies with device,"10,000,000+",0,Teen,"July 19, 2018",Varies with device,5028,Low
LIFESTYLE,32433,46M,"1,000,000+",0,Everyone,"June 26, 2018",2.9.1,4695,High
SOCIAL,144,12M,"1,000+",0,Teen,"January 31, 2017",1.0.12,5496,High
EDUCATION,61,18M,"50,000+",0,Mature 17+,"May 28, 2018",1.4.2,5457,Low
NEWS_AND_MAGAZINES,4332,12M,"1,000,000+",0,Everyone,"March 16, 2018",3.0.42,5879,High
SPORTS,666246,25M,"10,000,000+",0,Everyone,"July 29, 2018",5.5.9,57,High
GAME,2750645,Varies with device,"100,000,000+",0,Everyone,"August 2, 2018",1.17.2,5187,High
NEWS_AND_MAGAZINES,386,6.0M,"50,000+",0,Everyone,"October 27, 2017",3.2,3106,High
FAMILY,153,Varies with device,"10,000+",0,Everyone,"August 3, 2018",0.8,363,High
TOOLS,3943,11M,"100,000+",0,Everyone,"May 23, 2018",1.4.2,4502,High
LIBRARIES_AND_DEMO,174,816k,"10,000+",0,Everyone,"February 5, 2017",2.3.2,1191,High
TOOLS,1988,7.3M,"500,000+",0,Everyone,"August 3, 2018",Cow V3.15,7431,Low
PHOTOGRAPHY,3158047,53M,"100,000,000+",0,Everyone,"July 31, 2018",6.9.031,1517,High
SHOPPING,37253,31M,"1,000,000+",0,Everyone,"August 3, 2018",4.31.2,3879,High
SOCIAL,549,17M,"10,000+",0,Teen,"June 29, 2016",3.0.1,1131,High
GAME,416540,99M,"10,000,000+",0,Everyone 10+,"May 30, 2018",1.14.0,5360,High
TRAVEL_AND_LOCAL,26665,10M,"5,000,000+",0,Everyone,"March 29, 2018",2.5.26,7127,High
MEDICAL,199,1.8M,"10,000+",$11.99,Everyone,"June 27, 2018",3.0.5,3648,High
TOOLS,319,25k,"10,000+",$2.99,Everyone,"April 28, 2017",1.00,1628,Low
MAPS_AND_NAVIGATION,53562,60M,"1,000,000+",0,Everyone,"May 4, 2018",2.10.06,5548,High
EDUCATION,181893,18M,"10,000,000+",0,Everyone 10+,"July 27, 2018",3.2.5,8203,High
LIBRARIES_AND_DEMO,24,478k,"1,000+",0,Everyone,"February 5, 2017",2.3.2,1186,High
DATING,120,10M,500+,0,Mature 17+,"August 4, 2018",1.5-beta,8492,High
FAMILY,288835,91M,"5,000,000+",0,Mature 17+,"July 19, 2018",2.7.6,7948,High
TOOLS,428581,4.7M,"10,000,000+",0,Everyone,"July 17, 2018",1.33,5570,High
MEDICAL,47,21M,"10,000+",0,Everyone,"August 2, 2018",1.7.1 (946),105,High
TOOLS,12700,10M,"100,000+",$3.49,Everyone,"August 3, 2018",3.2.5,5563,High
COMMUNICATION,8,29M,100+,0,Teen,"March 14, 2018",1.0,9369,High
GAME,42145,20M,"10,000,000+",0,Everyone,"July 4, 2018",2.9.3181,2361,High
TOOLS,53,3.0M,"5,000+",0,Everyone,"August 1, 2018",1.0.1,8827,High
FAMILY,129542,63M,"1,000,000+",0,Everyone,"July 23, 2018",2.4.9,4340,High
BUSINESS,51507,Varies with device,"5,000,000+",0,Everyone,"August 2, 2018",Varies with device,7850,High
SPORTS,133833,34M,"10,000,000+",0,Everyone 10+,"July 25, 2018",6.17.2,9597,High
PRODUCTIVITY,3,7.5M,100+,0,Everyone,"March 1, 2018",11.04,6178,Low
SPORTS,283662,Varies with device,"10,000,000+",0,Everyone,"June 15, 2018",Varies with device,5861,High
PRODUCTIVITY,115072,Varies with device,"5,000,000+",0,Everyone,"July 31, 2018",Varies with device,9200,High
VIDEO_PLAYERS,239242,Varies with device,"10,000,000+",0,Everyone,"November 19, 2017",17.6,2604,High
TOOLS,4210,1.9M,"100,000+",0,Everyone,"June 18, 2018",1.5.0,9157,High
GAME,85278,23M,"1,000,000+",0,Mature 17+,"July 17, 2018",1.8.0716,846,Low
NEWS_AND_MAGAZINES,63640,23M,"10,000,000+",0,Everyone 10+,"August 1, 2018",6.19.5,6521,Low
MEDICAL,2921,25M,"100,000+",$24.99,Everyone,"May 25, 2018",2018.5.47,5277,High
HEALTH_AND_FITNESS,186,25M,"10,000+",0,Everyone,"May 19, 2018",1.1.0,6376,Low
HEALTH_AND_FITNESS,272172,13M,"10,000,000+",0,Everyone,"June 21, 2018",1.0.2,7823,High
COMMUNICATION,9,4.2M,"5,000+",0,Everyone,"May 29, 2017",3.8.8,288,High
DATING,13202,6.1M,"1,000,000+",0,Mature 17+,"July 7, 2018",2.4.1,9585,Low
MEDICAL,12,18M,"1,000+",$19.99,Everyone,"June 5, 2017",6.0.4,5239,High
TOOLS,294,3.0M,"50,000+",0,Everyone,"March 10, 2018",2.0,8000,High
EVENTS,59,1.8M,"5,000+",0,Everyone,"April 11, 2018",1.5,1998,Low
SHOPPING,48732,20M,"10,000,000+",0,Everyone,"July 31, 2018",7.8.1,16,Low
ART_AND_DESIGN,36815,29M,"1,000,000+",0,Everyone,"June 14, 2018",6.1.61.1,5378,High
NEWS_AND_MAGAZINES,40975,36M,"1,000,000+",0,Everyone 10+,"August 2, 2018",4.4.2.19,8415,High
TOOLS,32207,3.4M,"1,000,000+",0,Everyone,"August 16, 2017",1.1.8.2,3707,High
BOOKS_AND_REFERENCE,20,9.7M,"10,000+",0,Everyone,"June 21, 2016",1.0,550,Low
LIFESTYLE,10067,Varies with device,"1,000,000+",0,Everyone,"December 7, 2017",Varies with device,384,High
FAMILY,32,60M,"10,000+",0,Everyone,"November 29, 2017",6,5796,High
SPORTS,82857,Varies with device,"5,000,000+",0,Everyone,"July 30, 2018",Varies with device,5962,High
SOCIAL,457197,Varies with device,"10,000,000+",0,Teen,"August 3, 2018",Varies with device,5860,High
GAME,506593,Varies with device,"10,000,000+",0,Everyone,"August 1, 2018",5.66,4790,High
FINANCE,12,9.0M,"1,000+",0,Everyone,"January 22, 2018",1.18.4,7664,High
MEDICAL,1686,15M,"100,000+",0,Everyone,"July 30, 2018",2.9,6657,High
FINANCE,706301,Varies with device,"10,000,000+",0,Everyone,"July 31, 2018",Varies with device,2737,High
FAMILY,63,7.6M,"10,000+",0,Everyone,"November 14, 2015",1.4,9389,High
FINANCE,16808,Varies with device,"1,000,000+",0,Everyone,"May 1, 2018",Varies with device,8050,High
FAMILY,1791,56M,"500,000+",0,Everyone,"June 2, 2018",5.3.11,8119,High
TOOLS,13096,9.2M,"500,000+",0,Everyone,"July 30, 2018",17.4.0014017,4102,High
FAMILY,23292,20M,"1,000,000+",0,Everyone,"September 19, 2017",1.4,8753,High
FAMILY,6333,30M,"1,000,000+",0,Everyone,"May 25, 2018",1.1.12,63,High
FAMILY,12,10M,"1,000+",0,Mature 17+,"March 23, 2018",2.0.4,2936,High
COMMUNICATION,1130966,27M,"10,000,000+",0,Everyone,"June 6, 2018",1.9.1.013,9043,High
TRAVEL_AND_LOCAL,2822,27M,"100,000+",0,Everyone,"July 27, 2018",1.21.2,9426,High
BOOKS_AND_REFERENCE,459,3.1M,"50,000+",0,Everyone,"November 16, 2017",2.2.3.3,1861,High
BUSINESS,20,15M,"1,000+",0,Everyone,"October 12, 2017",1.4.36,3803,High
TRAVEL_AND_LOCAL,216388,19M,"10,000,000+",0,Everyone,"July 31, 2018",Varies with device,5531,High
EDUCATION,266948,21M,"10,000,000+",0,Everyone,"July 30, 2018",20.7.2,1372,High
PHOTOGRAPHY,914804,Varies with device,"50,000,000+",0,Everyone,"July 22, 2018",5.0.508,516,High
GAME,18621,63M,"100,000+",$2.99,Everyone,"July 4, 2018",2.1.2,8366,High
GAME,23599,96M,"100,000+",0,Teen,"June 1, 2018",11.0.2,8171,High
BOOKS_AND_REFERENCE,8,5.1M,500+,0,Everyone,"July 13, 2018",1.2,7577,High
PHOTOGRAPHY,1490732,21M,"50,000,000+",0,Everyone,"July 19, 2018",4.8.4,6969,High
FAMILY,5442,16M,"50,000+",$9.99,Teen,"June 28, 2018",2.5.16.6,1409,High
GAME,267229,24M,"10,000,000+",0,Teen,"May 28, 2018",1.7.4,7863,High
FAMILY,1031,48M,"100,000+",0,Everyone,"January 9, 2018",2.1.9f0,5267,High
FAMILY,163,3.4M,"1,000+",0,Everyone,"March 27, 2017",1.2,4531,Low
FINANCE,5905,50M,"500,000+",0,Everyone,"July 27, 2018",6.0.2,968,High
GAME,504765,36M,"5,000,000+",0,Teen,"July 30, 2018",2.4.1,5382,High
FAMILY,367951,76M,"5,000,000+",0,Teen,"July 16, 2018",2.2.8,3959,High
MEDICAL,83,3.2M,"10,000+",0,Everyone,"July 30, 2018",6.6,9323,Low
FAMILY,834,22M,"100,000+",0,Everyone,"March 15, 2018",1.8.11,6692,High
LIFESTYLE,134,1.8M,"1,000+",$37.99,Everyone,"July 18, 2017",1.0,5316,High
SHOPPING,181990,Varies with device,"10,000,000+",0,Everyone,"April 27, 2018",Varies with device,8350,High
GAME,127831,26M,"10,000,000+",0,Teen,"December 20, 2017",4.7.0,8326,High
MEDICAL,73,6.3M,"10,000+",0,Everyone,"December 8, 2017",2.7.36,5493,High
GAME,42079,93M,"5,000,000+",0,Everyone,"July 5, 2018",5.6.5,6570,High
DATING,3,25M,100+,0,Mature 17+,"July 20, 2018",1.2.9,7976,High
HEALTH_AND_FITNESS,3908,33M,"100,000+",0,Everyone,"July 9, 2018",1.5.8,467,High
FAMILY,1909,84M,"100,000+",0,Teen,"June 13, 2018",2.1,3697,Low
GAME,83891,48M,"10,000,000+",0,Everyone,"July 19, 2018",3.1,1598,High
COMMUNICATION,13698,5.1M,"10,000,000+",0,Everyone,"July 2, 2018",3.2.0.100171,2743,Low
VIDEO_PLAYERS,39,12M,"10,000+",0,Everyone,"March 18, 2016",2.0,2889,Low
GAME,185382,99M,"10,000,000+",0,Everyone,"July 30, 2018",1.0.6,6226,High
FAMILY,672089,73M,"50,000,000+",0,Everyone,"January 19, 2018",6.7.5222,5658,High
FAMILY,3,1.7M,500+,0,Everyone,"July 11, 2017",2.1,2944,High
LIFESTYLE,30,5.2M,"5,000+",0,Everyone,"March 4, 2015",1.0,4025,Low
BUSINESS,597,17M,"100,000+",0,Everyone,"July 12, 2018",9.0,1181,Low
PERSONALIZATION,1724,21M,"100,000+",0,Mature 17+,"June 26, 2018",5.34.10,66,High
BEAUTY,18900,17M,"500,000+",0,Everyone,"August 2, 2018",6.10.1,5289,High
GAME,154519,99M,"10,000,000+",0,Mature 17+,"May 9, 2017",1.4,6179,High
SOCIAL,5,2.6M,"1,000+",0,Teen,"February 15, 2018",1.0.0.4,9425,Low
VIDEO_PLAYERS,4585,Varies with device,"50,000+",$5.99,Everyone,"March 30, 2018",Varies with device,1255,High
LIFESTYLE,5208,4.5M,"100,000+",0,Teen,"November 23, 2017",1.37,2736,High
NEWS_AND_MAGAZINES,357944,12M,"10,000,000+",0,Everyone,"July 12, 2018",9.1,7183,High
TOOLS,31621,208k,"5,000,000+",0,Everyone,"July 10, 2011",2.0.1,1797,High
NEWS_AND_MAGAZINES,296781,Varies with device,"10,000,000+",0,Everyone 10+,"July 24, 2018",Varies with device,963,High
SHOPPING,6212081,15M,"100,000,000+",0,Everyone,"August 3, 2018",4.20.5,9107,High
MAPS_AND_NAVIGATION,7314,7.0M,"100,000+",0,Everyone,"September 7, 2017",3.1.4,6711,High
LIFESTYLE,6554,76M,"500,000+",0,Teen,"June 20, 2018",9.4.2,8688,Low
FAMILY,217,4.9M,"10,000+",$389.99,Everyone,"June 22, 2018",1.5,5300,Low
NEWS_AND_MAGAZINES,1093,Varies with device,"100,000+",0,Everyone 10+,"July 5, 2018",Varies with device,8921,Low
TOOLS,295430,1.4M,"10,000,000+",0,Everyone,"April 17, 2018",1.26,2153,High
FAMILY,589,28M,"100,000+",0,Everyone,"June 11, 2018",8.3.2,6668,Low
MAPS_AND_NAVIGATION,15681,Varies with device,"5,000,000+",0,Everyone,"August 2, 2018",Varies with device,8186,High
FAMILY,12,28M,"1,000+",0,Everyone,"March 26, 2018",1.3.6,1072,High
FAMILY,38,47M,"1,000+",$0.99,Everyone,"November 14, 2014",1.2,8164,High
FAMILY,14,592k,"1,000+",0,Teen,"August 14, 2013",2.0,1247,Low
DATING,15081,38M,"1,000,000+",0,Mature 17+,"July 26, 2018",4.7.6,6213,High
SPORTS,401,2.8M,"10,000+",0,Everyone,"August 9, 2017",5.0,4697,High
FAMILY,632,50M,"100,000+",0,Everyone,"July 20, 2018",1.4,8609,High
FAMILY,43852,77M,"10,000,000+",0,Everyone,"July 19, 2018",1.9.10,6079,High
TRAVEL_AND_LOCAL,1609,4.0M,"100,000+",0,Everyone,"April 26, 2018",53.89.55,5067,High
LIFESTYLE,5025,Varies with device,"500,000+",0,Mature 17+,"August 2, 2018",Varies with device,2812,High
FAMILY,211,14M,"10,000+",0,Everyone,"November 21, 2016",1.1.0,9594,High
FAMILY,68,5.5M,"5,000+",0,Everyone,"April 5, 2017",0.1,3005,High
PERSONALIZATION,75,2.6M,"10,000+",0,Mature 17+,"May 26, 2016",2.0,5568,High
MAPS_AND_NAVIGATION,1147,19M,"100,000+",0,Everyone,"May 28, 2018",1.0.3.8,2636,Low
BUSINESS,423,20M,"100,000+",0,Everyone,"June 7, 2018",11.0,2223,High
FAMILY,182103,6.9M,"5,000,000+",0,Teen,"July 31, 2018",5.0.12,4959,High
FAMILY,71,5.7M,500+,$2.49,Everyone,"March 14, 2018",1.8,563,High
BOOKS_AND_REFERENCE,28,Varies with device,"1,000+",0,Everyone,"October 20, 2016",Varies with device,1161,High
COMMUNICATION,56646578,Varies with device,"1,000,000,000+",0,Everyone,"August 1, 2018",Varies with device,6166,High
FAMILY,20267,46M,"1,000,000+",0,Everyone,"July 16, 2018",1.1.6.7,8096,High
FAMILY,796,28M,"100,000+",0,Everyone,"July 3, 2018",6.6.8,64,High
GAME,18125,15M,"100,000+",$4.99,Everyone,"July 9, 2018",Varies with device,4380,High
MAPS_AND_NAVIGATION,53481,Varies with device,"10,000,000+",0,Everyone,"May 22, 2018",Varies with device,6046,High
NEWS_AND_MAGAZINES,3684,Varies with device,"100,000+",0,Everyone 10+,"August 2, 2018",Varies with device,5134,High
FAMILY,242722,54M,"10,000,000+",0,Teen,"July 9, 2018",3.1.2b,6781,High
MEDICAL,38,8.5M,"1,000+",0,Everyone,"July 30, 2014",2,2447,High
MEDICAL,124,43M,"10,000+",0,Everyone,"January 13, 2017",3.0.2,9538,Low
TOOLS,274,26M,"50,000+",0,Everyone,"July 30, 2018",6.1.7,167,Low
PRODUCTIVITY,127,5.9M,"1,000+",$0.99,Everyone,"December 24, 2017",7.0.1,4109,Low
FINANCE,96,7.2M,"10,000+",0,Everyone,"August 5, 2018",2.9,8011,High
LIFESTYLE,6,3.4M,500+,0,Everyone,"March 1, 2016",1.0.2,1728,Low
LIFESTYLE,66,8.1M,"1,000+",0,Everyone,"July 18, 2018",1.0,5783,High
COMMUNICATION,260,193k,"10,000+",0,Everyone,"August 11, 2014",1.8,3837,High
FAMILY,5453997,Varies with device,"100,000,000+",0,Teen,"July 31, 2018",Varies with device,6556,High
GAME,8608,46M,"500,000+",0,Teen,"May 17, 2018",1.4.5,5025,High
TOOLS,253,15M,"50,000+",0,Everyone,"June 13, 2018",1.1.8,3039,Low
FAMILY,53301,7.6M,"10,000,000+",0,Everyone,"June 16, 2017",1.6.0,2916,Low
NEWS_AND_MAGAZINES,80,8.7M,"5,000+",0,Everyone 10+,"June 18, 2018",6.0.1,6099,High
PRODUCTIVITY,27135,Varies with device,"100,000+",$4.99,Everyone,"May 24, 2018",Varies with device,1831,High
FOOD_AND_DRINK,483960,Varies with device,"10,000,000+",0,Teen,"July 23, 2018",Varies with device,4599,High
FAMILY,475020,69M,"5,000,000+",0,Everyone 10+,"July 26, 2018",4.7.0.KG,2754,High
FAMILY,6,7.8M,"1,000+",0,Everyone,"June 6, 2018",1.5,2211,Low
HOUSE_AND_HOME,1478,5.7M,"100,000+",0,Everyone,"March 13, 2015",1.2,772,Low
VIDEO_PLAYERS,71,10M,"10,000+",0,Everyone,"July 18, 2018",3.08,3844,Low
TRAVEL_AND_LOCAL,86,39M,"10,000+",0,Everyone,"May 17, 2018",2.5.186032,3829,Low
FAMILY,24091,16M,"5,000,000+",0,Teen,"August 4, 2016",1.1.0,6624,Low
FAMILY,764967,69M,"10,000,000+",0,Everyone,"July 5, 2018",2.3.4,1405,High
GAME,299,25M,"10,000+",0,Everyone,"November 10, 2017",1.1,1174,Low
PRODUCTIVITY,5867,4.4M,"100,000+",0,Everyone,"October 31, 2017",1.0.2.9,3713,High
ENTERTAINMENT,12398,Varies with device,"1,000,000+",0,Teen,"July 2, 2018",Varies with device,7585,High
MEDICAL,4852,34M,"100,000+",0,Everyone,"October 22, 2013",1.3,3216,High
SHOPPING,95520,15M,"10,000,000+",0,Teen,"August 3, 2018",5.3.1,4013,High
NEWS_AND_MAGAZINES,322,31M,"10,000+",0,Everyone,"June 26, 2018",4.0.9,3105,High
GAME,165888,91M,"5,000,000+",0,Teen,"July 31, 2018",1.4.0,5943,High
SOCIAL,58,15M,"10,000+",0,Everyone,"August 14, 2017",1.3.0,847,Low
COMICS,28447,15M,"1,000,000+",0,Teen,"July 31, 2018",Varies with device,5801,Low
ENTERTAINMENT,613059,25M,"50,000,000+",0,Everyone,"July 26, 2018",18.07.0,7053,High
BUSINESS,123,3.3M,"10,000+",0,Everyone,"April 28, 2018",3.5,7573,High
DATING,40039,6.5M,"1,000,000+",0,Mature 17+,"July 27, 2018",1.31.3,6125,High
BUSINESS,23055,Varies with device,"5,000,000+",0,Everyone,"June 8, 2018",Varies with device,3857,High
GAME,7672495,Varies with device,"100,000,000+",0,Mature 17+,"August 2, 2018",Varies with device,7896,High
FAMILY,106750,94M,"1,000,000+",0,Everyone,"June 29, 2018",1.221,6424,High
PERSONALIZATION,66453,14M,"5,000,000+",0,Everyone,"April 10, 2018",1.57,8971,High
HEALTH_AND_FITNESS,6,8.0M,100+,0,Everyone,"January 5, 2018",1.0.1,8460,Low
ENTERTAINMENT,8674,19M,"1,000,000+",0,Teen,"May 25, 2018",3.3.1.42,8301,Low
DATING,185,5.0M,"10,000+",0,Mature 17+,"July 16, 2018",8.2,5855,High
FAMILY,124,23M,"10,000+",0,Everyone,"April 17, 2018",1.0.0,477,High
TOOLS,122010,7.3M,"5,000,000+",0,Everyone,"July 14, 2018",Translator 10.9.2,8575,High
FAMILY,6294400,Varies with device,"100,000,000+",0,Everyone,"August 1, 2018",Varies with device,3504,High
BOOKS_AND_REFERENCE,1778,4.9M,"500,000+",0,Mature 17+,"October 16, 2014",1.0.3,4559,Low
FAMILY,21,26M,"5,000+",0,Everyone,"May 15, 2017",1,8989,High
LIFESTYLE,11,3.4M,"1,000+",0,Everyone,"March 1, 2016",1.0.2,2288,High
BUSINESS,49,51k,"10,000+",0,Everyone,"January 18, 2012",0.59,4087,Low
TOOLS,3341,1.9M,"100,000+",0,Everyone,"April 17, 2016",4.5,2100,Low
TOOLS,336,27M,"50,000+",0,Everyone,"July 30, 2018",6.1.7,164,Low
ENTERTAINMENT,35928,19M,"1,000,000+",0,Teen,"July 16, 2018",3.1.4,5810,High
HOUSE_AND_HOME,6896,35M,"500,000+",0,Everyone,"August 30, 2017",1.7.3,7322,High
PERSONALIZATION,71829,8.8M,"5,000,000+",0,Everyone,"June 30, 2017",4.16,4650,High
FAMILY,245839,76M,"10,000,000+",0,Everyone,"April 3, 2017",2.7.0,6407,High
GAME,389,Varies with device,"10,000+",0,Teen,"July 3, 2018",1.16.32,8777,High
FAMILY,515,85M,"100,000+",0,Everyone,"July 20, 2018",7,5585,Low
FAMILY,2263,55M,"100,000+",0,Everyone,"September 21, 2017",14.15,9148,High
GAME,4946,7.5M,"100,000+",0,Teen,"July 16, 2017",1.82,9235,High
TOOLS,2246379,5.1M,"50,000,000+",0,Everyone,"June 28, 2018",2.1.4,2572,High
AUTO_AND_VEHICLES,14,4.6M,"1,000+",0,Everyone,"February 9, 2018",16.00,3841,Low
SPORTS,14123,13M,"500,000+",0,Everyone,"August 1, 2018",4.0.0,5724,High
GAME,525517,48M,"10,000,000+",0,Everyone,"October 15, 2017",1.2.3,8062,High
SHOPPING,6380,Varies with device,"1,000,000+",0,Everyone,"August 2, 2018",Varies with device,1746,Low
PRODUCTIVITY,226456,Varies with device,"10,000,000+",0,Everyone,"October 9, 2017",Varies with device,4935,High
SPORTS,57,17M,"5,000+",0,Everyone,"June 26, 2018",3.0.0,8175,High
GAME,33788,27M,"1,000,000+",0,Everyone,"March 29, 2018",1.8.5,3466,High
TOOLS,41,986k,"10,000+",0,Everyone,"July 26, 2013",3,2191,High
LIFESTYLE,40,8.0M,"1,000+",0,Teen,"June 25, 2018",3.8.0,3297,High
TOOLS,332,26M,"50,000+",0,Everyone,"July 30, 2018",6.1.7,169,Low
PRODUCTIVITY,8550,15M,"1,000,000+",0,Everyone,"July 25, 2018",2.1.5,6456,High
FAMILY,2941,28M,"100,000+",0,Teen,"July 31, 2018",2.4.1343-prod,3940,High
TOOLS,155,16M,"10,000+",0,Everyone,"February 24, 2018",1.3,3267,High
NEWS_AND_MAGAZINES,262,22M,"10,000+",0,Everyone,"June 26, 2018",5.3,1406,Low
BUSINESS,24,8.0M,"1,000+",0,Everyone,"October 26, 2017",6.0.8.2.GM,2873,High
FAMILY,359,17M,"5,000+",$4.99,Everyone,"August 12, 2015",2.0.5,2498,High
FAMILY,169,60M,"5,000+",$2.99,Everyone,"May 25, 2018",1.08,6418,High
FAMILY,30,16M,"1,000+",0,Everyone,"July 2, 2014",1.1,2931,Low
FINANCE,883,6.5M,"100,000+",0,Everyone,"May 5, 2018",3.1.9,1523,High
FINANCE,439,13M,"5,000+",0,Everyone,"January 30, 2018",5.7.1.0,2785,High
LIFESTYLE,284670,Varies with device,"10,000,000+",0,Everyone,"July 24, 2018",Varies with device,612,High
DATING,28671,Varies with device,"1,000,000+",0,Mature 17+,"August 1, 2018",Varies with device,1653,High
LIBRARIES_AND_DEMO,539,99M,"50,000+",0,Everyone,"August 2, 2018",7.0,2450,High
NEWS_AND_MAGAZINES,1440,12M,"100,000+",0,Everyone,"March 29, 2018",1.3.35.0,4277,High
SHOPPING,6211039,15M,"100,000,000+",0,Everyone,"August 3, 2018",4.20.5,9107,High
GAME,990796,75M,"10,000,000+",0,Everyone,"May 24, 2018",1.0.27,9290,High
COMMUNICATION,3075096,Varies with device,"100,000,000+",0,Everyone,"July 10, 2018",Varies with device,4465,High
PHOTOGRAPHY,157506,47M,"10,000,000+",0,Everyone,"May 24, 2018",4.5.2,4877,High
FAMILY,77,10M,"10,000+",0,Everyone,"July 7, 2017",1.6,7492,High
GAME,12,98M,"1,000+",0,Mature 17+,"February 7, 2018",1.4,1359,High
GAME,4067651,69M,"100,000,000+",0,Everyone 10+,"July 6, 2018",2.2.00,7044,High
PRODUCTIVITY,6,43M,500+,0,Everyone,"July 27, 2018",8.1.10.41,4537,High
PRODUCTIVITY,16,2.6M,"1,000+",0,Everyone,"February 17, 2017",1.0.3,1062,High
TOOLS,167,2.5M,"10,000+",0,Everyone,"November 8, 2017",1.0,5174,Low
LIFESTYLE,19221,13M,"5,000,000+",0,Everyone,"May 24, 2018",Varies with device,1305,Low
FAMILY,38021,19M,"10,000,000+",0,Everyone,"July 6, 2018",18.2,5582,High
MAPS_AND_NAVIGATION,891,6.4M,"50,000+",0,Everyone,"July 26, 2018",4.5.1,6506,High
GAME,1849,37M,"10,000+",0,Everyone,"October 20, 2015",1.1.8,1034,High
DATING,1146,1.4M,"100,000+",0,Mature 17+,"February 25, 2016",2.2,4377,Low
BOOKS_AND_REFERENCE,197,2.8M,"10,000+",0,Everyone,"January 3, 2017",1.2,991,High
ENTERTAINMENT,501498,12M,"100,000,000+",0,Teen,"July 26, 2018",Varies with device,5341,High
PARENTING,3182,46M,"1,000,000+",0,Everyone,"June 15, 2018",8.25.10.00,8807,Low
TOOLS,4786,13M,"500,000+",0,Everyone,"May 24, 2018",1.2.84,7864,Low
PHOTOGRAPHY,329,4.8M,"100,000+",0,Everyone,"November 13, 2017",1.1.0,1632,High
GAME,240,65M,"50,000+",0,Teen,"October 3, 2017",1.0.2,3197,High
MEDICAL,199,1.8M,"10,000+",$11.99,Everyone,"June 27, 2018",3.0.5,3648,High
HEALTH_AND_FITNESS,251618,93M,"10,000,000+",0,Everyone,"July 18, 2018",5.14.0,6615,High
PERSONALIZATION,1580,3.6M,"100,000+",0,Everyone,"November 12, 2014",v1.0,1495,High
TOOLS,19,11M,500+,0,Everyone,"March 11, 2018",3.4.7.2.16,3399,High
COMMUNICATION,346980,Varies with device,"10,000,000+",0,Everyone,"January 23, 2018",Varies with device,4915,High
FAMILY,15246,78M,"1,000,000+",0,Everyone,"July 12, 2017",3.2.473.202,6240,High
FAMILY,7,1.2M,100+,$9.99,Everyone,"November 1, 2013",1.2,90,High
FAMILY,3,1.8M,100+,0,Mature 17+,"December 26, 2016",3.1,5066,High
TRAVEL_AND_LOCAL,871,45M,"100,000+",0,Everyone,"October 27, 2017",5.29.23 Domain 253,4251,Low
HEALTH_AND_FITNESS,48286,Varies with device,"1,000,000+",0,Everyone,"July 27, 2018",Varies with device,7131,High
TOOLS,227798,Varies with device,"50,000,000+",0,Everyone,"August 6, 2018",Varies with device,3303,High
GAME,475369,13M,"50,000,000+",0,Everyone,"March 6, 2018",1.14,3418,High
FAMILY,925,40M,"10,000+",$1.99,Everyone,"December 26, 2014",1.5,8009,High
GAME,1500999,33M,"100,000,000+",0,Everyone,"April 9, 2018",1.0.6,5148,High
FAMILY,100,9.1M,"10,000+",0,Everyone,"November 30, 2016",3.6.1,4148,Low
FINANCE,10697,46M,"1,000,000+",0,Everyone,"July 18, 2018",3.22.1,6921,Low
PHOTOGRAPHY,37,10M,"1,000+",0,Everyone,"May 22, 2016",2.0,4120,High
HEALTH_AND_FITNESS,827653,Varies with device,"10,000,000+",0,Everyone,"July 25, 2018",Varies with device,7542,High
TOOLS,427,9.5M,"100,000+",0,Everyone,"May 4, 2018",1.7.6,7985,Low
DATING,48845,40M,"1,000,000+",0,Mature 17+,"August 1, 2018",4.19.0.2320,2115,High
PHOTOGRAPHY,4865132,51M,"100,000,000+",0,Everyone,"August 6, 2018",9.3.1,2349,High
FAMILY,38,5.0M,"1,000+",0,Everyone,"June 16, 2017",0.9.0,3107,High
GAME,7614271,70M,"100,000,000+",0,Everyone,"July 26, 2018",5.1.8,4376,High
FINANCE,92,1.5M,"10,000+",0,Everyone,"January 31, 2017",1.2.1,7289,High
FOOD_AND_DRINK,17071,Varies with device,"1,000,000+",0,Everyone,"August 2, 2018",Varies with device,5397,High
SHOPPING,35563,4.2M,"1,000,000+",0,Everyone,"July 23, 2018",10.2.1,8430,High
HEALTH_AND_FITNESS,644,5.5M,"100,000+",0,Everyone,"July 25, 2018",1.0.4,8929,High
BUSINESS,28,3.4M,"1,000+",0,Everyone,"May 1, 2015",1.1,1318,High
GAME,5,12M,100+,0,Everyone,"August 6, 2018",0.99,2150,High
SHOPPING,2,2.9M,100+,0,Teen,"February 16, 2018",1.2,120,High
PERSONALIZATION,18280,6.0M,"1,000,000+",0,Everyone,"January 8, 2015",1.28,4750,High
SPORTS,1,6.3M,10+,0,Everyone,"May 26, 2015",4.1.1,3556,High
TOOLS,5,2.5M,100+,$1.49,Everyone,"July 30, 2018",1.6.2,8888,High
ENTERTAINMENT,60841,Varies with device,"5,000,000+",0,Teen,"July 26, 2018",Varies with device,4278,Low
